
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.945415 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 66948:67104, ack 1, win 310, length 156
19:16:10.945535 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67104:67260, ack 1, win 310, length 156
19:16:10.945654 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67260:67416, ack 1, win 310, length 156
19:16:10.945768 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67416:67572, ack 1, win 310, length 156
19:16:10.945881 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67572:67728, ack 1, win 310, length 156
19:16:10.946030 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67728:67884, ack 1, win 310, length 156
19:16:10.946147 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 67884:68040, ack 1, win 310, length 156
19:16:10.946260 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68040:68196, ack 1, win 310, length 156
19:16:10.946377 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68196:68352, ack 1, win 310, length 156
19:16:10.946490 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68352:68508, ack 1, win 310, length 156
19:16:10.946604 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68508:68664, ack 1, win 310, length 156
19:16:10.946721 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68664:68820, ack 1, win 310, length 156
19:16:10.946834 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68820:68976, ack 1, win 310, length 156
19:16:10.946950 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 68976:69132, ack 1, win 310, length 156
19:16:10.947073 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69132:69288, ack 1, win 310, length 156
19:16:10.947249 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69288:69444, ack 1, win 310, length 156
19:16:10.947377 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69444:69600, ack 1, win 310, length 156
19:16:10.947492 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69600:69756, ack 1, win 310, length 156
19:16:10.947616 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69756:69912, ack 1, win 310, length 156
19:16:10.947737 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 69912:70068, ack 1, win 310, length 156
19:16:10.947852 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70068:70224, ack 1, win 310, length 156
19:16:10.947988 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70224:70380, ack 1, win 310, length 156
19:16:10.948108 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70380:70536, ack 1, win 310, length 156
19:16:10.948224 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70536:70692, ack 1, win 310, length 156
19:16:10.948342 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70692:70848, ack 1, win 310, length 156
19:16:10.948456 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 70848:71004, ack 1, win 310, length 156
19:16:10.948569 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71004:71160, ack 1, win 310, length 156
19:16:10.948685 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71160:71316, ack 1, win 310, length 156
19:16:10.948799 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71316:71472, ack 1, win 310, length 156
19:16:10.948912 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71472:71628, ack 1, win 310, length 156
19:16:10.949047 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71628:71784, ack 1, win 310, length 156
19:16:10.949163 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71784:71940, ack 1, win 310, length 156
19:16:10.949283 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 71940:72096, ack 1, win 310, length 156
19:16:10.949399 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72096:72252, ack 1, win 310, length 156
19:16:10.949514 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72252:72408, ack 1, win 310, length 156
19:16:10.949626 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72408:72564, ack 1, win 310, length 156
19:16:10.949739 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72564:72720, ack 1, win 310, length 156
19:16:10.949853 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72720:72876, ack 1, win 310, length 156
19:16:10.950007 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 72876:73032, ack 1, win 310, length 156
19:16:10.950128 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73032:73188, ack 1, win 310, length 156
19:16:10.950154 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [P.], seq 1:37, ack 59320, win 512, length 36
19:16:10.950313 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73188:73456, ack 37, win 310, length 268
19:16:10.950439 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73456:73612, ack 37, win 310, length 156
19:16:10.950557 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73612:73768, ack 37, win 310, length 156
19:16:10.950674 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73768:73924, ack 37, win 310, length 156
19:16:10.950788 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 73924:74080, ack 37, win 310, length 156
19:16:10.950901 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74080:74236, ack 37, win 310, length 156
19:16:10.951014 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74236:74392, ack 37, win 310, length 156
19:16:10.951139 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74392:74548, ack 37, win 310, length 156
19:16:10.951264 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74548:74704, ack 37, win 310, length 156
19:16:10.951380 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74704:74860, ack 37, win 310, length 156
19:16:10.951496 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 74860:75016, ack 37, win 310, length 156
19:16:10.951611 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75016:75172, ack 37, win 310, length 156
19:16:10.951725 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75172:75328, ack 37, win 310, length 156
19:16:10.951839 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75328:75484, ack 37, win 310, length 156
19:16:10.951985 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75484:75640, ack 37, win 310, length 156
19:16:10.952108 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75640:75796, ack 37, win 310, length 156
19:16:10.952225 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75796:75952, ack 37, win 310, length 156
19:16:10.952344 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 64608, win 512, length 0
19:16:10.952438 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 69600, win 512, length 0
19:16:10.952469 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 71784, win 512, length 0
19:16:10.952581 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 75952:76108, ack 37, win 310, length 156
19:16:10.952699 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 76108:76448, ack 37, win 310, length 340
19:16:10.952805 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 76448:76604, ack 37, win 310, length 156
19:16:10.952913 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 76604:76760, ack 37, win 310, length 156
19:16:10.953018 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 76760:76916, ack 37, win 310, length 156
19:16:10.953119 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 76916:77072, ack 37, win 310, length 156
19:16:10.953220 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77072:77228, ack 37, win 310, length 156
19:16:10.953323 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77228:77384, ack 37, win 310, length 156
19:16:10.953425 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77384:77540, ack 37, win 310, length 156
19:16:10.953526 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77540:77696, ack 37, win 310, length 156
19:16:10.953628 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77696:77852, ack 37, win 310, length 156
19:16:10.953731 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 77852:78008, ack 37, win 310, length 156
19:16:10.953833 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78008:78164, ack 37, win 310, length 156
19:16:10.953975 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78164:78320, ack 37, win 310, length 156
19:16:10.954085 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78320:78476, ack 37, win 310, length 156
19:16:10.954190 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78476:78632, ack 37, win 310, length 156
19:16:10.954293 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78632:78788, ack 37, win 310, length 156
19:16:10.954396 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78788:78944, ack 37, win 310, length 156
19:16:10.954498 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 78944:79100, ack 37, win 310, length 156
19:16:10.954622 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79100:79256, ack 37, win 310, length 156
19:16:10.954829 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79256:79412, ack 37, win 310, length 156
19:16:10.954938 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79412:79568, ack 37, win 310, length 156
19:16:10.955042 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79568:79724, ack 37, win 310, length 156
19:16:10.955123 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79724:79880, ack 37, win 310, length 156
19:16:10.955201 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 79880:80036, ack 37, win 310, length 156
19:16:10.955302 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80036:80192, ack 37, win 310, length 156
19:16:10.955403 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80192:80348, ack 37, win 310, length 156
19:16:10.955504 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80348:80504, ack 37, win 310, length 156
19:16:10.955605 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80504:80660, ack 37, win 310, length 156
19:16:10.955705 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80660:80816, ack 37, win 310, length 156
19:16:10.955804 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80816:80972, ack 37, win 310, length 156
19:16:10.955927 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 80972:81128, ack 37, win 310, length 156
19:16:10.956054 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81128:81284, ack 37, win 310, length 156
19:16:10.956170 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81284:81440, ack 37, win 310, length 156
19:16:10.956276 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81440:81596, ack 37, win 310, length 156
19:16:10.956378 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81596:81752, ack 37, win 310, length 156
19:16:10.956480 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81752:81908, ack 37, win 310, length 156
19:16:10.956585 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 81908:82064, ack 37, win 310, length 156
19:16:10.956689 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82064:82220, ack 37, win 310, length 156
19:16:10.956791 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82220:82376, ack 37, win 310, length 156
19:16:10.956896 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82376:82532, ack 37, win 310, length 156
19:16:10.956998 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82532:82688, ack 37, win 310, length 156
19:16:10.957128 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82688:82844, ack 37, win 310, length 156
19:16:10.957231 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 82844:83000, ack 37, win 310, length 156
19:16:10.957333 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83000:83156, ack 37, win 310, length 156
19:16:10.957443 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83156:83312, ack 37, win 310, length 156
19:16:10.957546 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83312:83468, ack 37, win 310, length 156
19:16:10.957648 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83468:83624, ack 37, win 310, length 156
19:16:10.957748 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83624:83780, ack 37, win 310, length 156
19:16:10.957849 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83780:83936, ack 37, win 310, length 156
19:16:10.957987 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 83936:84092, ack 37, win 310, length 156
19:16:10.958096 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84092:84248, ack 37, win 310, length 156
19:16:10.958213 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84248:84404, ack 37, win 310, length 156
19:16:10.958322 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84404:84560, ack 37, win 310, length 156
19:16:10.958425 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84560:84716, ack 37, win 310, length 156
19:16:10.958527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84716:84872, ack 37, win 310, length 156
19:16:10.958627 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 84872:85028, ack 37, win 310, length 156
19:16:10.958729 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85028:85184, ack 37, win 310, length 156
19:16:10.958829 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85184:85340, ack 37, win 310, length 156
19:16:10.958930 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85340:85496, ack 37, win 310, length 156
19:16:10.959035 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85496:85652, ack 37, win 310, length 156
19:16:10.959140 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85652:85808, ack 37, win 310, length 156
19:16:10.959256 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85808:85964, ack 37, win 310, length 156
19:16:10.959361 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 85964:86120, ack 37, win 310, length 156
19:16:10.959463 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86120:86276, ack 37, win 310, length 156
19:16:10.959565 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86276:86432, ack 37, win 310, length 156
19:16:10.959666 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86432:86588, ack 37, win 310, length 156
19:16:10.959768 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86588:86744, ack 37, win 310, length 156
19:16:10.959870 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86744:86900, ack 37, win 310, length 156
19:16:10.960000 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 86900:87056, ack 37, win 310, length 156
19:16:10.960106 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87056:87212, ack 37, win 310, length 156
19:16:10.960208 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87212:87368, ack 37, win 310, length 156
19:16:10.960325 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87368:87524, ack 37, win 310, length 156
19:16:10.960432 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87524:87680, ack 37, win 310, length 156
19:16:10.960534 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87680:87836, ack 37, win 310, length 156
19:16:10.960637 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87836:87992, ack 37, win 310, length 156
19:16:10.960738 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 87992:88148, ack 37, win 310, length 156
19:16:10.960842 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88148:88304, ack 37, win 310, length 156
19:16:10.960945 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88304:88460, ack 37, win 310, length 156
19:16:10.961057 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88460:88616, ack 37, win 310, length 156
19:16:10.961161 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88616:88772, ack 37, win 310, length 156
19:16:10.961263 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88772:88928, ack 37, win 310, length 156
19:16:10.961373 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 88928:89084, ack 37, win 310, length 156
19:16:10.961479 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89084:89240, ack 37, win 310, length 156
19:16:10.961581 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89240:89396, ack 37, win 310, length 156
19:16:10.961686 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89396:89552, ack 37, win 310, length 156
19:16:10.961790 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89552:89708, ack 37, win 310, length 156
19:16:10.961921 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89708:89864, ack 37, win 310, length 156
19:16:10.962029 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 89864:90020, ack 37, win 310, length 156
19:16:10.962134 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90020:90176, ack 37, win 310, length 156
19:16:10.962240 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90176:90332, ack 37, win 310, length 156
19:16:10.962342 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90332:90488, ack 37, win 310, length 156
19:16:10.962390 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90488:90644, ack 37, win 310, length 156
19:16:10.962523 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90644:90912, ack 37, win 310, length 268
19:16:10.962637 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 90912:91068, ack 37, win 310, length 156
19:16:10.962752 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 91068:91224, ack 37, win 310, length 156
19:16:10.962864 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 91224:91380, ack 37, win 310, length 156
19:16:10.962991 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 91380:91536, ack 37, win 310, length 156
19:16:10.963010 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 77072, win 512, length 0
19:16:10.963167 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 91536:91788, ack 37, win 310, length 252
19:16:10.963198 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 82064, win 512, length 0
19:16:10.963208 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 86276, win 512, length 0
19:16:10.963391 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 91788:92144, ack 37, win 310, length 356
19:16:10.963517 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92144:92300, ack 37, win 310, length 156
19:16:10.963636 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92300:92456, ack 37, win 310, length 156
19:16:10.963748 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92456:92612, ack 37, win 310, length 156
19:16:10.963860 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92612:92768, ack 37, win 310, length 156
19:16:10.963989 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92768:92924, ack 37, win 310, length 156
19:16:10.964082 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 92924:93080, ack 37, win 310, length 156
19:16:10.964169 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93080:93236, ack 37, win 310, length 156
19:16:10.964257 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93236:93392, ack 37, win 310, length 156
19:16:10.964344 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93392:93548, ack 37, win 310, length 156
19:16:10.964460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93548:93704, ack 37, win 310, length 156
19:16:10.964572 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93704:93860, ack 37, win 310, length 156
19:16:10.964682 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 93860:94016, ack 37, win 310, length 156
19:16:10.964812 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94016:94172, ack 37, win 310, length 156
19:16:10.964934 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94172:94328, ack 37, win 310, length 156
19:16:10.965155 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94328:94484, ack 37, win 310, length 156
19:16:10.965291 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94484:94640, ack 37, win 310, length 156
19:16:10.965409 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94640:94796, ack 37, win 310, length 156
19:16:10.965525 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94796:94952, ack 37, win 310, length 156
19:16:10.965637 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 94952:95108, ack 37, win 310, length 156
19:16:10.965749 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95108:95264, ack 37, win 310, length 156
19:16:10.965860 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95264:95420, ack 37, win 310, length 156
19:16:10.966014 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95420:95576, ack 37, win 310, length 156
19:16:10.966134 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95576:95732, ack 37, win 310, length 156
19:16:10.966247 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95732:95888, ack 37, win 310, length 156
19:16:10.966360 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 95888:96044, ack 37, win 310, length 156
19:16:10.966471 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96044:96200, ack 37, win 310, length 156
19:16:10.966582 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96200:96356, ack 37, win 310, length 156
19:16:10.966692 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96356:96512, ack 37, win 310, length 156
19:16:10.966803 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96512:96668, ack 37, win 310, length 156
19:16:10.966914 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96668:96824, ack 37, win 310, length 156
19:16:10.967026 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96824:96980, ack 37, win 310, length 156
19:16:10.967149 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 96980:97136, ack 37, win 310, length 156
19:16:10.967267 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97136:97292, ack 37, win 310, length 156
19:16:10.967379 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97292:97448, ack 37, win 310, length 156
19:16:10.967491 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97448:97604, ack 37, win 310, length 156
19:16:10.967606 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97604:97760, ack 37, win 310, length 156
19:16:10.967720 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97760:97916, ack 37, win 310, length 156
19:16:10.967833 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 97916:98072, ack 37, win 310, length 156
19:16:10.967976 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98072:98228, ack 37, win 310, length 156
19:16:10.968102 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98228:98384, ack 37, win 310, length 156
19:16:10.968219 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98384:98540, ack 37, win 310, length 156
19:16:10.968332 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98540:98696, ack 37, win 310, length 156
19:16:10.968444 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98696:98852, ack 37, win 310, length 156
19:16:10.968557 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 98852:99008, ack 37, win 310, length 156
19:16:10.968671 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99008:99164, ack 37, win 310, length 156
19:16:10.968784 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99164:99320, ack 37, win 310, length 156
19:16:10.968897 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99320:99476, ack 37, win 310, length 156
19:16:10.969009 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99476:99632, ack 37, win 310, length 156
19:16:10.969120 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99632:99788, ack 37, win 310, length 156
19:16:10.969232 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99788:99944, ack 37, win 310, length 156
19:16:10.969344 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 99944:100100, ack 37, win 310, length 156
19:16:10.969456 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 100100:100256, ack 37, win 310, length 156
